,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
sb2_p13uhs19_1247_68,sb2_p13uhs19_1247_bus_2_5.1.2.3,p13udt22083-p13uhs19_1247x.1.2.3,1.6,3.4,"[2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994]",600.0,,0.003023488,3p_oh_code_3,sb2_p13uhs19_1247_68,480.0,0,0,3,0.1784,0.058,0.01805,100.0,"[0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334]",,0,3,0.4047,0.1206,0.155081,"[0.631065, 0.188089, 0.188089, 0.188089, 0.631065, 0.188089, 0.188089, 0.188089, 0.631065]","[201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, 201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541]",1,False,480.0
sb2_p13uhs19_1247_69,sb2_p13uhs19_1247_bus_2_6.1.2.3,p13udt8521-p13uhs19_1247x.1.2.3,1.6,3.4,"[2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994]",600.0,,0.003023488,3p_oh_code_3,sb2_p13uhs19_1247_69,480.0,0,0,3,0.1784,0.058,0.01805,100.0,"[0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334]",,0,3,0.4047,0.1206,0.155081,"[0.631065, 0.188089, 0.188089, 0.188089, 0.631065, 0.188089, 0.188089, 0.188089, 0.631065]","[201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, 201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541]",2,False,480.0
sb2_p13uhs19_1247_67,sb2_p13uhs19_1247_bus_2_4.1.2.3,p13udt22084-p13uhs19_1247x.1.2.3,1.6,3.4,"[2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994, -0.6, -0.6, -0.6, 2.7999999999999994]",600.0,,0.003023488,3p_oh_code_3,sb2_p13uhs19_1247_67,480.0,0,0,3,0.1784,0.058,0.01805,100.0,"[0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334, 0.05016533333333334, 0.05016533333333334, 0.05016533333333334, 0.22464633333333334]",,0,3,0.4047,0.1206,0.155081,"[0.631065, 0.188089, 0.188089, 0.188089, 0.631065, 0.188089, 0.188089, 0.188089, 0.631065]","[201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -201.71249806193043, 530.0429810537498, 52.87862087944764, -116.3182588759611, 52.878620879447645, -116.3182588759611, 201.71249806193043, -530.0429810521541, -52.87862087944764, 116.31825887561916, -52.878620879447645, 116.31825887561916, 52.87862087944764, -116.3182588759611, -201.71249806193046, 530.0429810537498, 52.87862087944765, -116.31825887596109, -52.87862087944764, 116.31825887561916, 201.71249806193046, -530.0429810521541, -52.87862087944765, 116.31825887561915, 52.878620879447645, -116.3182588759611, 52.87862087944765, -116.31825887596109, -201.71249806193046, 530.0429810537498, -52.878620879447645, 116.31825887561916, -52.87862087944765, 116.31825887561915, 201.71249806193046, -530.0429810521541]",3,False,480.0
sb2_p13uhs19_1247_364,sb2_p13uhs19_1247_node_2_18.1.2.3,sb2_p13uhs19_1247_node_2_10.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,breaker_69kv_3,sb2_p13uhs19_1247_364,900.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",4,True,900.0
sb2_p13uhs19_1247_58,sb2_p13uhs19_1247_node_2_13.1.2.3,sb2_p13uhs19_1247_node_2_16.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,breaker_13kv_3,sb2_p13uhs19_1247_58,1200.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",5,True,1200.0
sb2_p13uhs19_1247_362,sb2_p13uhs19_1247_bus_2_2.1.2.3,sb2_p13uhs19_1247_node_2_11.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,breaker_13kv_3,sb2_p13uhs19_1247_362,1200.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",6,True,1200.0
sb2_p13uhs19_1247_60,sb2_p13uhs19_1247_node_2_15.1.2.3,sb2_p13uhs19_1247_bus_2_4.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,disconnect_switch_13kv_3,sb2_p13uhs19_1247_60,1200.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",7,True,1200.0
sb2_p13uhs19_1247_356,sb2_p13uhs19_1247_node_2_12.1.2.3,sb2_p13uhs19_1247_bus_2_2.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,disconnect_switch_13kv_3,sb2_p13uhs19_1247_356,1200.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",8,True,1200.0
sb2_p13uhs19_1247_62,sb2_p13uhs19_1247_node_2_17.1.2.3,sb2_p13uhs19_1247_bus_2_6.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,disconnect_switch_13kv_3,sb2_p13uhs19_1247_62,1200.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",9,True,1200.0
sb2_p13uhs19_1247_44,sb2_p13uhs19_1247_node_2_6.1.2.3,sb2_p13uhs19_1247_bus_2_1.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,disconnect_switch_69kv_3,sb2_p13uhs19_1247_44,900.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",10,True,900.0
sb2_p13uhs19_1247_43,sb2_p13uhs19_1247_node_2_5.1.2.3,sb2_p13uhs19_1247_node_2_6.1.2.3,1.0,1.0999999999999999,"[1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664, -0.033333333333333263, -0.033333333333333263, -0.033333333333333263, 1.0666666666666664]",600.0,,0.001,breaker_69kv_3,sb2_p13uhs19_1247_43,900.0,0,0,3,1.0,1.0,0.01805,100.0,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0,0,1.0,1.0,0.155081,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, 0.0, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, 0.0, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799, 0.0, -6.283185307179988e-12, 0.0, 0.0, 0.0, 0.0, -500.00000000000006, 500.00000000000006, 0.0, -6.283185307179988e-12, 0.0, -6.283185307179988e-12, 500.00000000000006, -499.999999999799]",13,True,900.0
